Rapper,Drug of choice,Drink of choice,Age/Audio Format,Fashion,Region,Criminal History,Food/Fitness/Body Type,Intelligence,"""Pimp Hand""",Tattoos,Sound
Jay Z,Weed,Champagne/Wine,CDs,Upscale,East Coast,Drug dealer,"tall, athletic",Smart,Pussy whipped,A few,Always changing/Pop
Nas,Weed,top shelf liquor,CDs,Upscale,East Coast,Minor,"short, athletic",Smart,Semi-Pimp,Many,Classic
Action Bronson,"Weed, Cocaine",Champagne/Wine,MP3,T shirt & Jeans,East Coast,None,fat,Reasonably smart,no standards,Many,Underground/alternative
Lil Wayne,"Lean, Weed",top shelf liquor,Mixtapes,T shirt & Jeans,Dirty South,Minor,"short, athletic",Dumb,Legit pimp,Facial,Dirty South
Snoop Dogg,Weed,top shelf liquor,CDs,T shirt & Jeans,West Coast,Might have killed someone,"tall, athletic",Average,Legit pimp,Many,Classic
Gucci Mane,"Weed, Lean, Pills",top shelf liquor,Mixtapes,Thuggin',Dirty South,Might have killed someone,"tall, stocky",Mentally incompetent,Legit pimp,Facial,Dirty South/trap
Danny Brown,"Molly, Weed",Beer,MP3,Hipster,Mid West,Drug dealer,"tall, athletic",Reasonably smart,no standards,A few,Underground/alternative
Rick Ross,Weed,Champagne/Wine,Mixtapes,Thuggin',Dirty South,Drug dealer,"tall, fat",Dumb,Semi-Pimp,Many,Trap
Kendrick Lamar,None,Mountain Dew,MP3,T shirt & Jeans,West Coast,None,"short, athletic",Smart,Semi-Pimp,A few,Always changing
Redman,Weed,top shelf liquor,CDs,T shirt & Jeans,East Coast,Drug dealer,"tall, athletic",Average,Semi-Pimp,many,Classic
Drake,Weed,top shelf liquor,MP3,Avant-garde,Other,None,"tall, athletic",Reasonably smart,Pussy whipped,a few,Pop/underground/alternative
Dmx,"Weed, Cocaine, Crack",bottom shelf liquor,CDs,Thuggin',East Coast,Might have killed someone,stocky,Mentally incompetent,no standards,many,Classic
Eminem,Pills,Mountain Dew,CDs,T shirt & Jeans,Mid West,Assault,"short, athletic",Smart,no standards,many,Pop/classic
Chief Keef,Weed,top shelf liquor,MP3,Thuggin',Mid West,Might have killed someone,"tall, athletic",Dumb,Legit Pimp,many,Trap
Kanye West,Weed,top shelf liquor,CDs,Avant-garde,Mid West,Assault,"short, athletic",Reasonably smart,Pussy whipped,a few,Always changing
"Tyler, The Creator",None,Mountain Dew,MP3,Hipster,West Coast,None,"tall, athletic",Reasonably smart,no standards,a few,Underground/alternative
Wale,Weed,Champagne/Wine,Mixtapes,Upscale,East Coast,None,"short, stocky",Average,Pussy Whipped,many,Pop/classic
J. Cole,Weed,Champagne/Wine,MP3,t shirt & Jeans,Mid West,None,"tall, athletic",Reasonably smart,Pussy Whipped,none,Classic
2 Pac,Weed,top shelf liquor,CDs,Thuggin',West Coast,Might have killed someone,"short, athletic",Smart,Legit Pimp,many,Classic
The Notorious B.I.G.,Weed,top shelf liquor,CDs,Upscale,East Coast,Drug dealer,"tall, fat",Reasonably smart,Legit Pimp,a few,Classic
ODB,"Crack, Cocaine",beer/bottom shelf liquor,CDs,t shirt & Jeans,East Coast,Might have killed someone,stocky,Dumb,no standards,a few,Classic
Method Man,Weed,beer/bottom shelf liquor,CDs,T shirt & Jeans,East Coast,Drug dealer,"tall, stocky",Average,Semi-Pimp,a few,Classic
Ghostface Killah,Weed,Champagne/wine,CDs,Upscale,East Coast,Drug dealer,"tall, stocky",Reasonably smart,Semi-Pimp,a few,Classic
Lil' Kim,Weed,Champagne/wine,CDs,Upscale,East Coast,Minor,"short, athletic",Dumb,Legit Pimp,a few,Pop
Nicki Minaj,None,top shelf liquor,MP3s,Upscale,East Coast,None,stocky,Average,Legit Pimp,a few,Pop
French Montana,Cocaine,top shelf liquor,Mixtapes,Upscale,East Coast,Drug dealer,"tall, stocky",Dumb,Semi-Pimp,a few,Trap
Missy Elliot,None,Mountain Dew,CDS,Avant-garde,Mid West,None,"short, fat",Reasonably smart,Semi-Pimp,none,Classic
Macklemore,None,Mountain Dew,MP3,Avant-garde,West Coast,None,"short, athletic",Average,no standards,none,Pop
Mac Miller,"Weed, Acid",top shelf liquor,MP3,Hipster,East Coast,None,short,Average,no standards,many,Underground/alternative
Schoolboy Q,"Pills, Weed",Beer,MP3,Hipster,West Coast,Drug dealer,fat,Average,no standards,many,Underground/alternative
Wiz Khalifa,Weed,Champagne/wine,Mixtapes,Hipster,East Coast,None,"tall, athletic",Dumb,Pussy whipped,many,Pop
Chance The Rapper,Acid,top shelf liquor,MP3,Hipster,Mid West,None,"short, athletic",Reasonably smart,no standards,none,Underground/alternative
Childish Gambino,"Weed, Acid",Beer,MP3,Hipster,Dirty South,None,athletic,Reasonably smart,Pussy whipped,none,Underground/alternative
Black Thought,None,Mountain Dew,CDs,T shirt & Jeans,East Coast,None,stocky,Smart,no standards,none,Classic/underground/alternative
Mos Def aka Yasin Bey,None,Mountain Dew,CDs,T shirt & Jeans,East Coast,None,athletic,Smart,no standards,none,Classic/underground/alternative
Ludacris,Weed,Beer,CDs,T shirt & Jeans,Dirty South,None,"short, athletic",Average,Semi-Pimp,many,Dirty South
Busta Rhymes,Weed,top shelf liquor,Cassettes,Avant-garde,East Coast,Assault,"tall, athletic",Average,Semi-Pimp,many,Classic
Andre 3000,None,mountain dew,Cassettes,Avant-garde,Dirty South,None,athletic,Smart,Pussy whipped,a few,Underground/alternative
Talib Kweli,Weed,Champagne/wine,CDs,T shirt & Jeans,East Coast,None,athletic,Smart,no standards,a few,Classic/underground/alternative
MF Doom,Weed,bottom shelf liquor,CDs,Avant-garde,East Coast,none,fat,Smart,no standards,none,Underground/alternative
P Diddy,Weed,top shelf liquor,CDs,Upscale,East Coast,Minor,athletic,Reasonably smart,Legit Pimp,a few,Pop
Deltron 3030,None,bottom shelf liquor,CDs,Hipster,West Coast,None,athletic,Smart,no standards,none,Underground/alternative
Future,"Weed, Molly",top shelf liquor,MP3,Avant-garde,Dirty South,Minor,"tall, athletic",Dumb,Pussy whipped,many,Pop/trap
Joey Bada$$,Weed,bottom shelf liquor,MP3,Hipster,East Coast,None,athletic,Reasonably smart,Pussy whipped,none,Classic
Madlib,Weed,bottom shelf liquor,CDs,T shirt & Jeans,West Coast,None,athletic,Smart,no standards,none,Underground/alternative
A$AP Rocky,"Weed, Molly",top shelf liquor,MP3,Hipster,East Coast,Assault,athletic,Average,Semi-Pimp,a few,Underground/alternative
ICP,"Crack, Pills",beer/bottom shelf liquor,CDs,Thuggin',Mid West,Minor,fat,Mentally incompetent,no standards,many,Underground/alternative
